Carimbo de data/hora;Em que ano(s) seu(s) filho(s) está(ão) matriculado(s) no CEMEL?;Há quanto tempo seu(s) filho(s) estuda(m) no CEMEL?;Como você avalia a qualidade do ensino oferecido pelo CEMEL?;Em que grau você percebe o desenvolvimento acadêmico e pessoal do seu filho no CEMEL?;A metodologia pedagógica da escola atende às necessidades do seu filho?;Como você avalia o relacionamento e competência dos professores e coordenação?;Como você avalia a comunicação da escola com as famílias?;Quais canais de comunicação você mais utiliza para se comunicar com a escola?;A frequência de comunicação da escola é:;As informações transmitidas pela escola são claras e objetivas?;Como você avalia as instalações físicas do CEMEL?;Os recursos pedagógicos (materiais, tecnologia, biblioteca) são adequados?;Como você avalia a segurança oferecida pela escola?;Como você avalia o atendimento da secretaria/administrativo?;Quando você tem alguma dúvida ou problema, a escola resolve de forma:;A direção da escola está disponível quando necessário?;Como você avalia o custo-benefício do CEMEL?;Quais são os principais diferenciais que você enxerga no CEMEL?;Em uma escala de 0 a 10, qual a probabilidade de você recomendar o CEMEL para outras famílias?;Qual sua intenção para a rematrícula de 2026?;Quais fatores estão influenciando sua dúvida ou decisão de não renovar?;O que o CEMEL faz de MELHOR na sua opinião?;O que o CEMEL poderia MELHORAR?;Você tem alguma sugestão específica para a escola?;Gostaria de compartilhar mais alguma coisa conosco?
20/08/2025 14:38:13;Educação Infantil - Pré II;Entre 2 a 4 anos;Excelente;Muito acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar;Excessiva;Sempre;Excelente;Muito adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização, Atividades extracurriculares;10;Já decidi renovar a matrícula;;O Ensino e a metodologia. ;Não há.;não ;
20/08/2025 14:39:56;Ensino Fundamental - 4º ano;5 anos ou mais;Muito bom;Acima das expectativas;Atende completamente;Muito bom;Muito boa;WhatsApp;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Atenção individualizada, Valores e princípios, Infraestrutura, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade, Localização;10;Já decidi renovar a matrícula;;Conciliar educação infantil com princípios ;As aulas de informática, poderiam ter mais conteúdos do que jogos ;Aprimorar o ensino de informática ;
20/08/2025 14:40:04;Ensino Fundamental - 1º ano;Entre 2 a 4 anos;Bom;Dentro das expectativas;É adequada;Bom;Muito boa;WhatsApp, Agenda escolar;Adequada;Sempre;Muito boa;Adequados;Boa;Bom;Rápida e eficiente;Sempre;Excelente;Valores e princípios, Relacionamento família-escola;10;Provavelmente vou renovar;;Eventos aos alunos;Sistema de avaliação;;
20/08/2025 14:42:29;Educação Infantil - Pré I;Entre 2 a 4 anos;Bom;Dentro das expectativas;Precisa de ajustes;Regular;Precisa melhorar;WhatsApp, Agenda escolar, Reuniões presenciais;Insuficiente;Na maioria das vezes;Precisa melhorar;Parcialmente adequados;Muito boa;Precisa melhorar;Adequada;Na maioria das vezes;Muito bom;Valores e princípios, Tradição e credibilidade, Localização;8;Já decidi renovar a matrícula;;O ponto mais forte do CEMEL é o ambiente acolhedor, que motiva as crianças a aprenderem de forma leve e prazerosa;Acredito que o CEMEL poderia melhorar no sentido de oferecer um ensino mais individualizado e manter uma comunicação mais próxima entre professores e pais, principalmente para identificar onde cada criança apresenta maior dificuldade. Por exemplo, no caso do meu filho Matteo, percebemos que ele tem dificuldade em segurar o lápis — algo que foi identificado por profissionais externos (fonoaudióloga, pais e psicóloga), mas não pela escola. Uma comunicação mais clara e eficiente certamente contribuiria muito para o desenvolvimento das crianças.;;
20/08/2025 14:42:47;Ensino Fundamental - 3º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp, Agenda escolar;Adequada;Na maioria das vezes;Muito boa;Adequados;Muito boa;Excelente;Muito rápida e eficiente;Sempre;Excelente;Qualidade do ensino, Valores e princípios, Relacionamento família-escola;10;Já decidi renovar a matrícula;;Ensino ;Não tenho nada em mente ;;
20/08/2025 14:51:18;Ensino Fundamental - 2º ano, Ensino Fundamental - 3º ano;Entre 2 a 4 anos;Muito bom;Dentro das expectativas;Atende completamente;Muito bom;Muito boa;WhatsApp, Agenda escolar, Reuniões presenciais;Adequada;Sempre;Muito boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Tradição e credibilidade, Localização;10;Ainda estou avaliando;Questões financeiras;O ensino é bem avançado e atenção e paciência com as crianças ;Poderia contratar professores mais experientes;Como mencionei a cima poderia contratar professores mais experientes ;Nao
20/08/2025 14:54:16;Ensino Fundamental - 1º ano, Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Muito bom;Acima das expectativas;Atende parcialmente;Muito bom;Excelente;WhatsApp;Adequada;Sempre;Boa;Adequados;Muito boa;Muito bom;Rápida e eficiente;Sempre;Muito bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Tradição e credibilidade;10;Provavelmente vou renovar;;Organização, cuidado, atenção na relação família e escola ;Estrutura física ;Que os professores entreguem todas as atividades devidamente corrigidas no final de cada bimestre, em todas as séries! ;Somente agradecer pelo empenho e dedicação de toda equipe! 
20/08/2025 14:57:36;Educação Infantil - Pré I, Ensino Fundamental - 1º ano;Entre 2 a 4 anos;Excelente;Acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Adequada;Sempre;Muito boa;Adequados;Excelente;Muito bom;Rápida e eficiente;Sempre;Bom;Qualidade do ensino, Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica;10;Já decidi renovar a matrícula;;Além do ensino que é muito bom. A escola tem uma ótima comunicação com os pais e tem bastante eventos que nos envolve também.;....;....;....
20/08/2025 15:03:44;Ensino Fundamental - 4º ano;5 anos ou mais;Excelente;Muito acima das expectativas;Atende completamente;Excelente;Excelente;WhatsApp;Excessiva;Sempre;Excelente;Muito adequados;Excelente;Excelente;Muito rápida e eficiente;Sempre;Excelente;Valores e princípios;10;Já decidi renovar a matrícula;;Nada! Já são excelente ;Pegar pesado com as crianças no aprendizado ;Não ;
20/08/2025 15:05:29;Ensino Fundamental - 6º ao 9º ano;5 anos ou mais;Muito bom;Dentro das expectativas;Atende completamente;Muito bom;Excelente;WhatsApp;Adequada;Sempre;Boa;Adequados;Boa;Excelente;Muito rápida e eficiente;Sempre;Muito bom;Atenção individualizada, Valores e princípios, Relacionamento família-escola, Metodologia pedagógica, Localização;10;Ainda estou avaliando;Outro;Atenção individual com o aluno, ensino de forma geral ;Os professores e mais lição de casa para o aluno nao ficar tão disperso.;não.;Somente agradecer por tantos anos de parceira e compreensão com meu filho e família, detalhes de melhoria são poucos, perto do imenso cuidado, atenção e educação que passaram ao longo dos anos. OBRIGADA!
